,Group,Breed
217,Working,Giant Schnauzer
218,Working,Great Dane
219,Working,Great Pyrenees
220,Working,Greater Swiss Mountain
221,Working,Komondor
222,Working,Kuvasz
223,Working,Leonberger
224,Working,Mastiff
225,Working,Neapolitan Mastiff
226,Working,Newfoundland
227,Working,Portuguese Water
228,Working,Rottweiler
229,Working,Samoyed
230,Working,Siberian Husky
231,Working,Standard Schnauzer
232,Working,Tibetan Mastiff
233,Working,St. Bernard Rough Coat
234,Working,St. Bernard Smooth Coat
235,Working,St. Bernard
236,Other,Barbet
237,Other,Belgian Laekenois
238,Other,Dogo Argentino
239,Other,Dutch Shepherd
240,Other,Lancashire Heeler
241,Other,Mudi
242,Other,Norrbottenspets
243,Other,Peruvian Inca Orchid
244,Other,Portuguese Podengo
245,Other,Russian Toy
